	Gene.name	Gene.description	Gene.type	logFC	logCPM	LR	PValue	FDR	DEG
ENSG00000199347	RNU5E-1	RNA, U5E small nuclear 1 [Source:HGNC Symbol;Acc:HGNC:10215]	snRNA	1.14381154647418	0.989550609602492	16.8705669774762	4.00173299350118e-05	0.00876506564719408	Upregulated
ENSG00000118640	VAMP8	vesicle associated membrane protein 8 [Source:HGNC Symbol;Acc:HGNC:12647]	protein_coding	0.788286004417479	2.07805725302652	16.7599562047074	4.24190950659921e-05	0.00900524758177885	Upregulated
ENSG00000244642	RN7SL396P	RNA, 7SL, cytoplasmic 396, pseudogene [Source:HGNC Symbol;Acc:HGNC:46412]	misc_RNA	0.638805366626717	7.91891533224441	16.5750512282081	4.67621550512531e-05	0.00965790594405486	Upregulated
ENSG00000110092	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	protein_coding	1.21636351095315	6.83615595213001	16.569742913663	4.68932312668799e-05	0.00965790594405486	Upregulated
ENSG00000278705	HIST1H4B	histone cluster 1 H4 family member b [Source:HGNC Symbol;Acc:HGNC:4789]	protein_coding	0.595231756911791	3.79714937707525	16.2809448218702	5.4610371972296e-05	0.0104491293093525	Upregulated
ENSG00000140678	ITGAX	integrin subunit alpha X [Source:HGNC Symbol;Acc:HGNC:6152]	protein_coding	1.23986694482152	1.79550144414588	16.2623689953675	5.51483923064384e-05	0.0104491293093525	Upregulated
ENSG00000124635	HIST1H2BJ	histone cluster 1 H2B family member j [Source:HGNC Symbol;Acc:HGNC:4761]	protein_coding	0.746051885294901	2.76537508096353	16.2530832619081	5.54193343780312e-05	0.0104491293093525	Upregulated
ENSG00000263905	RN7SL555P	RNA, 7SL, cytoplasmic 555, pseudogene [Source:HGNC Symbol;Acc:HGNC:46571]	misc_RNA	0.594315865641906	2.588986492776	16.1128378410803	5.96781175072614e-05	0.0104491293093525	Upregulated
ENSG00000209042	SNORD12C	small nucleolar RNA, C/D box 12C [Source:HGNC Symbol;Acc:HGNC:10105]	snoRNA	1.25013214358424	1.05339815820026	15.9978264424146	6.34152475942025e-05	0.0109258287924413	Upregulated
ENSG00000206634	SNORA22	small nucleolar RNA, H/ACA box 22 [Source:HGNC Symbol;Acc:HGNC:32612]	snoRNA	1.32999894304611	2.81691087044411	15.8621289368002	6.81284748945371e-05	0.0110769810024363	Upregulated
ENSG00000208772	SNORD94	small nucleolar RNA, C/D box 94 [Source:HGNC Symbol;Acc:HGNC:32756]	snoRNA	0.98667718225985	3.83784817116653	15.7258112734123	7.3218210572231e-05	0.0116130814676577	Upregulated
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000200534	SNORA33	small nucleolar RNA, H/ACA box 33 [Source:HGNC Symbol;Acc:HGNC:32623]	snoRNA	1.16847925299562	2.42575252008281	15.475270677986	8.35917685614706e-05	0.0126846247255724	Upregulated
ENSG00000241175	RN7SL494P	RNA, 7SL, cytoplasmic 494, pseudogene [Source:HGNC Symbol;Acc:HGNC:46510]	misc_RNA	0.769824503049666	0.615958325865976	15.4739307202146	8.36510508027456e-05	0.0126846247255724	Upregulated
ENSG00000066468	FGFR2	fibroblast growth factor receptor 2 [Source:HGNC Symbol;Acc:HGNC:3689]	protein_coding	-0.6473047474427	3.95715033960811	15.3649071725052	8.8618958448235e-05	0.0130509845363838	Downregulated
ENSG00000084710	EFR3B	EFR3 homolog B [Source:HGNC Symbol;Acc:HGNC:29155]	protein_coding	-0.894932778194977	2.96770630576583	15.3367999167872	8.99471809643528e-05	0.01306506473818	Downregulated
ENSG00000026297	RNASET2	ribonuclease T2 [Source:HGNC Symbol;Acc:HGNC:21686]	protein_coding	0.70849302649535	2.83116149755335	15.207445002156	9.63229213636508e-05	0.0136569745189683	Upregulated
ENSG00000252010	SCARNA5	small Cajal body-specific RNA 5 [Source:HGNC Symbol;Acc:HGNC:32561]	scaRNA	0.779218609272531	5.3637660793494	15.1843392308085	9.75087560617659e-05	0.0136569745189683	Upregulated
ENSG00000223865	HLA-DPB1	major histocompatibility complex, class II, DP beta 1 [Source:HGNC Symbol;Acc:HGNC:4940]	protein_coding	1.23242186026902	4.61264967043732	15.1752153578726	9.79810477119979e-05	0.0136569745189683	Upregulated
ENSG00000207523	SNORA66	small nucleolar RNA, H/ACA box 66 [Source:HGNC Symbol;Acc:HGNC:10223]	snoRNA	1.30927366337022	3.05149148711013	15.1424128445396	9.96981473169879e-05	0.0137573473482712	Upregulated
ENSG00000168010	ATG16L2	autophagy related 16 like 2 [Source:HGNC Symbol;Acc:HGNC:25464]	protein_coding	1.07265365727632	2.10027709641744	14.9935875457986	0.000107877127743523	0.0144523930653677	Upregulated
ENSG00000178977	LINC00324	long intergenic non-protein coding RNA 324 [Source:HGNC Symbol;Acc:HGNC:26628]	lincRNA	0.808924870804814	0.782731150093147	14.8994311099895	0.000113397176779855	0.0150458427152425	Upregulated
ENSG00000158869	FCER1G	Fc fragment of IgE receptor Ig [Source:HGNC Symbol;Acc:HGNC:3611]	protein_coding	0.96599697732132	1.3757477592868	14.7321689601335	0.000123913900268921	0.0156309904383962	Upregulated
ENSG00000102445	RUBCNL	RUN and cysteine rich domain containing beclin 1 interacting protein like [Source:HGNC Symbol;Acc:HGNC:20420]	protein_coding	1.54862118653217	1.50292811457475	14.578429777049	0.000134444727051945	0.0159566305091537	Upregulated
ENSG00000167397	VKORC1	vitamin K epoxide reductase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:23663]	protein_coding	0.61922127889622	0.623263045465468	14.5509175013383	0.00013642220408821	0.0159566305091537	Upregulated
ENSG00000269028	MTRNR2L12	MT-RNR2 like 12 [Source:HGNC Symbol;Acc:HGNC:37169]	protein_coding	0.620327357804688	5.94713871813631	14.4758476021355	0.00014196820541999	0.016341407853237	Upregulated
ENSG00000279765	AC013394.1		protein_coding	0.78506843105099	1.21802395105454	14.4109478819523	0.000146945532740345	0.0167240966134725	Upregulated
ENSG00000106078	COBL	cordon-bleu WH2 repeat protein [Source:HGNC Symbol;Acc:HGNC:22199]	protein_coding	-1.2590127704858	3.56901728351567	14.2401464079185	0.00016090103124179	0.0176212169055989	Downregulated
ENSG00000274267	HIST1H3B	histone cluster 1 H3 family member b [Source:HGNC Symbol;Acc:HGNC:4776]	protein_coding	1.38118645860038	1.5536051740139	14.2225058006785	0.000162416368631339	0.0176471139428649	Upregulated
ENSG00000244618	RN7SL334P	RNA, 7SL, cytoplasmic 334, pseudogene [Source:HGNC Symbol;Acc:HGNC:46350]	misc_RNA	0.649372417332599	1.39395725001366	14.1610186274996	0.000167811402673034	0.0179506166316682	Upregulated
ENSG00000255717	SNHG1	small nucleolar RNA host gene 1 [Source:HGNC Symbol;Acc:HGNC:32688]	processed_transcript	1.00898636617846	3.01268000682766	14.0929288815354	0.000173996664592412	0.0180524810128623	Upregulated
ENSG00000278828	HIST1H3H	histone cluster 1 H3 family member h [Source:HGNC Symbol;Acc:HGNC:4775]	protein_coding	0.871482660373474	1.71338179638624	13.9859779292963	0.000184179083368203	0.0183477797412053	Upregulated
ENSG00000266794	RN7SL7P	RNA, 7SL, cytoplasmic 7, pseudogene [Source:HGNC Symbol;Acc:HGNC:10042]	misc_RNA	0.732068430691488	0.933895969802252	13.833473886115	0.000199745745597037	0.0185288147335188	Upregulated
ENSG00000251791	SCARNA6	small Cajal body-specific RNA 6 [Source:HGNC Symbol;Acc:HGNC:32562]	scaRNA	0.666695453983186	5.44188720942617	13.8290532154952	0.000200216231568239	0.0185288147335188	Upregulated
ENSG00000249020	SNORA58	small nucleolar RNA, H/ACA box 58 [Source:HGNC Symbol;Acc:HGNC:32652]	snoRNA	1.1740621974476	0.958436539188552	13.8181442992429	0.000201382035211689	0.0185288147335188	Upregulated
