lipid	class	logFC	mean_DG	mean_NG	p_value	method	FDR	sig	direction
SM_(37:1)	SM	-0.00810240999742029	-1.51469370277935	-1.50659129278193	0.934004691811099	t-test	0.968597458174473	FALSE	Down in DG
TG_(56:2)	TG	0.076200403687007	-2.09426857430069	-2.17046897798769	0.963369558144851	Mann-Whitney	0.973618170465541	FALSE	Up in DG
Lacto-cer_(36:1)	Lacto-cer	-1.47448600563889	-0.192726929146363	1.28175907649252	0.973825175723297	Mann-Whitney	0.984296048096083	FALSE	Down in DG
Lacto-cer_(38:1)	Lacto-cer	-0.569229120346088	2.08119150672063	2.65042062706671	0.984296048096083	Mann-Whitney	0.984296048096083	FALSE	Down in DG
TG_(58:1)	TG	0.272117987509582	-7.51100818515452	-7.7831261726641	0.984296734383986	Mann-Whitney	0.984296734383986	FALSE	Up in DG
Hex-Cer_(40:1-OH)	Hex-Cer	-0.715912537083212	-4.16304066797269	-3.44712813088948	0.989529636696388	Mann-Whitney	0.989529636696388	FALSE	Down in DG
Hex-Cer_(40:2-OH)	Hex-Cer	-1.04232010921656	-3.89063587143425	-2.84831576221769	0.787890019912174	Mann-Whitney	0.989529636696388	FALSE	Down in DG
Hex-Cer_(37:2)	Hex-Cer	0.0168674983811394	6.31470583704291	6.29783833866177	0.33736801803939	t-test	0.989529636696388	FALSE	Up in DG
Hex-Cer_(39:2)	Hex-Cer	-0.0563755245844977	4.25649275218003	4.31286827676453	0.432448957724211	t-test	0.989529636696388	FALSE	Down in DG
Hex-Cer_(34:1)	Hex-Cer	-1.16687871916549	-3.12294653216956	-1.95606781300406	0.849096406428858	Mann-Whitney	0.989529636696388	FALSE	Down in DG
Hex-Cer_(42:1)	Hex-Cer	0.0143831358730955	-2.84152675539693	-2.85590989127003	0.669744635255369	Mann-Whitney	0.989529636696388	FALSE	Up in DG
Cer_(42:2)	Cer	0.014842378422502	4.33691004979622	4.32206767137372	0.994765277713517	Mann-Whitney	0.994765277713517	FALSE	Up in DG
PC-P_(34:1)	PC-P	-0.0476661258820101	3.18275081086776	3.23041693674977	0.994765277713517	Mann-Whitney	0.994765277713517	FALSE	Down in DG
SM_(35:2)	SM	-0.0500812278866274	-5.00921442416499	-4.95913319627836	0.994765277713517	Mann-Whitney	0.994765277713517	FALSE	Down in DG
Cholesterol	Cholesterol	0	6.64385618977472	6.64385618977472	NA	Mann-Whitney	NA	FALSE	Down in DG
PG_(34:0)	PG	0	6.64385618977472	6.64385618977472	NA	Mann-Whitney	NA	FALSE	Down in DG
Mono-lyso_CL_(53:02)	Mono-lyso_CL	0	6.64385618977472	6.64385618977472	NA	Mann-Whitney	NA	FALSE	Down in DG
GD1_(36:1)	GD1	0	6.64385618977472	6.64385618977472	NA	Mann-Whitney	NA	FALSE	Down in DG
MGDG_(35:1)	MGDG	0	6.64385618977472	6.64385618977472	NA	Mann-Whitney	NA	FALSE	Down in DG
S_(39:1)	S	0	6.64385618977472	6.64385618977472	NA	Mann-Whitney	NA	FALSE	Down in DG
DNA conc (ng/µl)	DNA	0	6.64385618977472	6.64385618977472	NA	Mann-Whitney	NA	FALSE	Down in DG
LPI_(16:1)	LPI	0	6.64385618977472	6.64385618977472	NA	Mann-Whitney	NA	FALSE	Down in DG
